dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,10.32,1.56,4.7700000000000005,63.94052044609665,9.66542750929368,29.55390334572491
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,14.6,2.56,6.75,63.03972366148531,11.053540587219343,29.14507772020725
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,26.48,7.0,19.26,51.37757081878153,13.581684128831975,37.36903376018626
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,10.8,0.12,0.09,104.44874274661508,1.160541586073501,0.8704061895551257
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05,36.2,0.64,0.27,100.77951002227172,1.7817371937639197,0.7516703786191536
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,37.52,0.56,0.27,103.87596899224806,1.5503875968992251,0.7475083056478407
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,23.96,0.28,0.18,103.58841331603979,1.2105490704712496,0.7782101167315175
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,21.92,0.12,0.09,105.38461538461539,0.5769230769230769,0.43269230769230765
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,22.2,0.32,0.27,103.15985130111525,1.4869888475836432,1.254646840148699
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,7.44,0.68,0.99,81.84818481848185,7.480748074807482,10.891089108910892
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,22.88,2.24,9.0,69.86259541984732,6.83969465648855,27.480916030534353
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89,21.72,1.48,0.36,96.83459652251449,6.5983058403923325,1.6049933125278644
