dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Hot tea (Garam Chai),-1.1604685015235696,-0.9424249438635803,-1.2679300746983921,-0.7698563217461856,-0.5047463356732065,-0.7084131812691238,-0.2731520211914591,-0.677619207461744,-0.734782818787415,-0.5487474268331319,-0.7504485850066637,-0.9424249438635803,-1.2679300746983921,-0.7698563217461855,0.9313428820137957,-0.2181369100204762,-0.5621040406708118
Instant coffee,-1.1230298872082636,-0.8784973137282924,-1.1952777837332351,-0.7590942891081309,-0.420687043138229,-0.7084131812691238,-0.2721233221877001,-0.5786698207657384,-0.7084689795958121,-0.5095803730416534,-0.6781378716696627,-0.8784973137282924,-1.1952777837332351,-0.7590942891081308,0.8967393227380098,-0.14539341441957612,-0.570985540745762
Espreso coffee,-0.971675489164334,-0.7010533310163253,-0.8727016118479369,-0.6910978101676946,-0.1854826765259362,-0.7084131812691238,-0.266945537202113,-0.026363124110223103,-0.6492628414147056,-0.5095803730416534,-0.6794699111258705,-0.7010533310163253,-0.8727016118479369,-0.6910978101676944,0.448744831561075,-0.012907090702661307,-0.39232485602724326
Iced tea,-1.1914006899892071,-0.9352554900166322,-1.3725493736882184,-0.7952938534361329,-0.49504718653455526,-0.7084131812691238,-0.27480365459193884,-0.8707707838908283,-0.734782818787415,-0.3374004534038664,-0.7603437352527794,-0.9352554900166322,-1.3725493736882184,-0.7952938534361329,2.487441544308087,-0.6638319629526521,-1.1852364135982403
Raw mango drink (Aam panna),-1.054979072583861,-0.5558718906156248,-1.3347701823863367,-0.7943154868326734,-0.10788948341672619,-0.4882168511206767,-0.2293180136423943,-0.7832443398868654,-0.6558413012126063,1.1885634740166102,-0.517341680170279,-0.5558718906156248,-1.3347701823863367,-0.7943154868326734,2.3464902062898774,-0.6312784623236879,-1.187815880363299
Fruit Punch (with fresh juices),-1.0539124453953908,-0.5361558925365174,-1.3405823656635494,-0.7943154868326734,0.03436470395015878,-0.6867545258446863,-0.27343205592026015,-0.8130626708102493,-0.6821551404042092,1.0388755258630387,-0.31715517903731866,-0.5361558925365174,-1.3405823656635494,-0.7943154868326734,2.465438789747406,-0.6434022429071442,-1.1879062989894795
Fruit Punch (with squashes),-1.1231898812865342,-0.7386929637128032,-1.3609250071337933,-0.7948046701344033,-0.23801973436029716,-0.6470469908998844,-0.2736435107154773,-0.8393206040114383,-0.7084689795958121,0.016654201166627934,-0.6109650248066065,-0.7386929637128032,-1.3609250071337933,-0.7948046701344031,2.4543925137651326,-0.6612113412762569,-1.1872393199147322
Lemonade,-1.1356160880322126,-0.7691631425623329,-1.3725493736882184,-0.7952938534361329,-0.2711584939173556,-0.701193629460978,-0.2586359352495263,-0.8609796901547917,-0.7150474393937128,-0.36377035100605,-0.7445495531291714,-0.7691631425623329,-1.3725493736882184,-0.7952938534361329,2.52339252110648,-0.6944162511695962,-1.1947454943209788
Lem-o-gin,-1.1317762301537195,-0.7649809611516131,-1.3580189154951872,-0.7943154868326734,-0.278432855771344,-0.661486094516176,-0.2588588200336741,-0.855639093571499,-0.6887336002021099,-0.3478708539223805,-0.729135953707337,-0.7649809611516131,-1.3580189154951872,-0.7943154868326734,2.4379295652509567,-0.6467246283203214,-1.1768890078730618
Cumin infused water (Jeere/Zeere ka pani),-1.1980671099171463,-0.9854416669452694,-1.3318640907477306,-0.7904020204188354,-0.5952717276339515,-0.5423634896817702,-0.16657880440202485,-0.7274647755724754,-0.5374290248503931,-0.4281439245643217,-0.7249495439878264,-0.9854416669452694,-1.3318640907477306,-0.7904020204188353,1.619254890789533,-0.33262413830119286,-0.9675428774197765
